2015-09-07,Labor Day,Federal Holiday
2015-10-12,Columbus Day,Federal Holiday
2015-11-11,Veterans Day,Federal Holiday
2015-11-26,Thanksgiving Day,Federal Holiday
2015-11-27,Black Friday,State holiday
2015-12-25,Christmas Day,Federal Holiday
2016-01-01,New Year's Day,Federal Holiday
2016-01-18,Martin Luther King Day,Federal Holiday
2016-02-12,Lincoln's Birthday,State holiday
2016-02-15,Presidents' Day,Federal Holiday
2016-03-01,Town Meeting Day Vermont,State holiday
2016-03-25,Good Friday,State holiday
2016-05-08,Truman Day,State holiday
2016-05-09,Truman Day observed,State holiday
2016-05-30,Memorial Day,Federal Holiday
